TotalOwed,AmtRepaid,PRSM
46149,20704.69,0.8972974495655377
94692,49918.2,1.0543277151184893
66889,20646.34,0.6173313997817279
27437,12452.95,0.9077486605678464
82812,34961.36,0.8443549244070908
50557,18887.45,0.7471744763336432
67389,30484.97,0.9047461751917969
13401,3536.88,0.5278531452876651
52865,13975.88,0.528738484819824
62621,24249.9,0.7744973730857061
51061,18611.24,0.7289806310099686
84565,33781.79,0.7989544137645598
26747,9201.97,0.6880749242905746
57194,16326.09,0.5709021925376788
27359,10929.43,0.7989641434262948
70226,25818.21,0.7352892091248255
89704,32605.76,0.7269633461161152
87833,51852.26,1.1807011032299932
86991,36244.23,0.8332868917474222
71634,21057.03,0.587906022279923
45293,16813.43,0.7424295144945136
24867,8840.02,0.710984035066554
26884,12502.32,0.9300937360511828
43983,14169.78,0.6443298547165951
18620,6702.13,0.7198850698174006
13930,4500.76,0.6461966977745872
81330,29646.91,0.7290522562400098
11722,4208.08,0.7179798669169084
23058,6261.05,0.5430696504466996
15518,5553.43,0.7157404304678439
94865,25989.04,0.5479163021135298
93478,15637.55,0.3345717708979653
51877,21513.35,0.8293983846405921
26805,9443.99,0.7046439097183361
84666,20918.4,0.4941393239316845
61773,26577.37,0.8604850015378886
34371,13119.18,0.7633865758924675
98366,25945.33,0.5275263810666287
18378,6859.63,0.7465045162694526
85539,34707.64,0.8115044599539392
15806,5530.67,0.6998190560546628
29606,9872.73,0.666941160575559
39093,15725.88,0.804536873609086
37455,14831.49,0.7919631557869443
61224,14046.78,0.4588651509212074
41684,17431.16,0.8363477593321178
16332,7046.46,0.8629022777369582
87600,42214.21,0.9637947488584475
52423,21701.55,0.8279400263243233
65358,26785.68,0.8196603323235105
21450,10636.73,0.991769696969697
53299,16316.2,0.6122516369913131
14794,4982.03,0.6735203460862511
77338,32964.86,0.8524880395148569
13335,3895.02,0.5841799775028121
18591,6301.09,0.6778645581195202
89111,30380.13,0.6818491544253796
57207,22135.88,0.7738871117170976
67585,26886.88,0.7956463712362211
49341,18706.32,0.7582464887213474
23219,9320.19,0.802807183771911
64602,24155.53,0.7478260734961766
30594,10761.82,0.7035248741583316
12949,2966.73,0.4582176229824697
74029,25175.84,0.6801615583082306
87502,29994.08,0.6855633014102536
34425,14378.63,0.8353597676107479
98954,42178.04,0.8524777169189725
31985,11117.17,0.6951489760825387
48642,22452.48,0.9231725669174787
61380,18521.03,0.6034874551971325
56758,22271.83,0.784799675816625
66396,29267.02,0.8815898548105308
28005,10828.47,0.7733240492769148
52181,18201.85,0.6976428201835917
28730,11230.05,0.7817647058823529
14881,3226.56,0.4336482763255157
70791,28765.51,0.8126883360879207
92162,28696.28,0.6227356177166294
41783,9706.55,0.46461718880884567
26905,9852.33,0.732379111689277
33994,14163.01,0.8332652821086074
40873,14628.02,0.7157791206909206
54526,22035.98,0.8082742178043502
21321,9046.27,0.8485783968856996
51555,20350.97,0.7894857918727572
30066,8806.13,0.5857866028071576
77324,39777.17,1.0288440846309037
84925,39592.05,0.9324003532528703
13061,4334.93,0.6637975652706531
18870,6990.92,0.7409560148383678
99079,44055.04,0.8892911716912767
27052,11592.28,0.8570368179801864
39394,14481.68,0.7352226227344266
99176,36638.88,0.7388658546422521
67855,27440.2,0.8087893301893744
68791,30374.55,0.8830966260121237
28993,8321.71,0.5740495981788707
94015,43165.16,0.9182611285433177
13132,4163.31,0.634070971672251
18273,4139.61,0.45308487933015923
56201,9794.59,0.3485557196491166
94756,48052.24,1.0142310777153953
14504,6946.36,0.9578543849972421
39086,13399.83,0.6856588036637159
56192,20518.03,0.730282958428246
46570,12679.55,0.5445372557440412
79309,26856.91,0.6772726928847924
36696,14670.43,0.7995656202310879
72287,35463.98,0.9811993857816759
92999,33304.93,0.7162427552984441
31940,10418.31,0.6523675641828428
54268,22832.77,0.8414819046215081
85663,31668.26,0.7393684554591831
89991,36380.05,0.8085264081963752
92748,44790.51,0.9658539267693105
97535,28524.39,0.5849057261495874
39803,16383.98,0.8232535236037485
82718,30034.1,0.7261805169370632
70134,28012.12,0.7988171215102517
97708,41600.49,0.8515267941212592
60863,28062.84,0.9221642048535235
10589,5432.81,1.026123335536878
83032,32348.3,0.7791767029578958
39272,12603.89,0.641876655123243
12118,4131.98,0.6819574187159596
46011,13808.43,0.6002229901545283
60496,23797.68,0.7867521819624438
15094,6326.25,0.838246985557175
37850,11723.45,0.6194689564068693
54380,19796.83,0.7280923133504966
39214,14662.25,0.747806905696945
77880,32368.92,0.831251155624037
62807,26840.03,0.8546827582912733
54313,18212.22,0.6706394417542761
72430,19793.21,0.5465472870357586
41019,13182.04,0.6427284916745899
98538,42099.48,0.8544821287219144
61761,24794.04,0.802902802739593
54195,24545.11,0.9058071777839284
35334,13768.08,0.7793105790456784
60823,30190.45,0.9927313680680007
15365,5274.37,0.6865434428896844
60332,22505.8,0.7460651064111914
65216,22896.17,0.7021641928361138
85423,36258.05,0.8489060323332125
22538,8969.02,0.7959020321235247
70170,17289.19,0.49278010545817297
68757,30610.18,0.8903873060197507
85329,33684.5,0.7895205615910182
67554,18804.71,0.5567312076264914
23016,4429.22,0.38488182134167537
79807,16744.41,0.4196225894971619
46224,18296.62,0.7916502249913464
70952,15810.12,0.44565678204983655
35908,12357.36,0.6882789350562549
38867,9610.08,0.4945110247768029
40033,19620.96,0.9802393025753753
52348,16060.75,0.6136146557652632
47874,15718.91,0.6566783640389355
14443,6324.8,0.8758291213736759
62859,21620.67,0.6879100844747769
47905,17591.03,0.7344131092787809
39083,14845.44,0.7596878438195636
23789,5904.62,0.4964159905838833
30002,7436.95,0.4957636157589494
89295,29191.39,0.6538191388095638
55997,21194.89,0.7570009107630765
55980,24495.12,0.8751382636655948
88654,35564.34,0.8023177747196967
98842,35628.64,0.7209210659436271
57800,18514.86,0.6406525951557094
20292,6212.62,0.6123220973782771
52166,27422.25,1.0513457040984548
26802,7610.05,0.5678718006118947
57331,16075.74,0.5608044513439501
68358,27401.37,0.80170192223295
41790,19538.23,0.9350672409667384
18029,8419.22,0.9339641688390925
67446,24786.48,0.7350022240014233
77299,27655.53,0.715546902288516
38659,12964.32,0.6707012597325331
20288,7689.63,0.7580471214511041
76706,39110.64,1.0197543868797747
93809,44208.66,0.9425249176518246
71545,21555.2,0.6025634216227549
24992,10102.63,0.8084691101152368
30236,8883.36,0.5876015345945231
75456,33666.78,0.8923552798982188
46647,6790.7,0.29115270006645655
39423,18149.09,0.9207361185094995
41448,13361.35,0.644728334298398
12662,5403.71,0.8535318275154005
74581,21625.09,0.5799088239632078
17393,4081.43,0.4693186914275858
21175,6107.33,0.5768434474616293
13588,3073.86,0.45243744480423903
34094,12633.72,0.7411110459318355
82909,45146.39,1.0890588476522451
74278,33850.42,0.9114521123347424
38347,14742.01,0.7688742274493442
80614,27879.12,0.691669437070484
57750,24226.13,0.8390001731601732
57870,23741.84,0.8205232417487472
36664,13618.77,0.7428960288020947
33978,13294.4,0.7825298722702925
13877,4847.94,0.6987014484398645
29428,12094.55,0.8219756694304743
60398,22123.52,0.7325911454021656
24670,10089.64,0.817968382650993
82113,35879.81,0.8739130222985397
15211,5162.46,0.678779830385905
65045,26603.2,0.8179936966715351
84159,44522.23,1.0580503570622275
54936,20686.3,0.7531054317751565
29713,6743.79,0.45392858344832226
34974,15701.21,0.8978789958254703
99066,43863.86,0.8855482203783337
40063,12888.79,0.643426103886379
42216,18056.96,0.8554557513738866
48372,21349.76,0.8827321591003059
17940,8645.35,0.9638071348940914
70373,33493.45,0.9518835348784334
86446,22108.74,0.5115040603382459
63355,20006.45,0.6315665693315445
36699,14450.01,0.7874879424507479
70003,31976.32,0.9135699898575775
19429,9293.4,0.9566524267847032
97381,40152.18,0.8246409463858453
89064,12449.76,0.27956884936674753
18856,8058.41,0.8547316504030548
11994,3274.49,0.546021344005336
75035,30953.35,0.825037649097088
60017,22613.05,0.7535548261325957
69871,31082.66,0.8897156187831862
20758,6209.95,0.5983187204933038
71488,30441.29,0.8516475492390332
61733,17035.67,0.5519145351756758
91351,29978.1,0.6563277906098455
56671,15636.55,0.55183603606783
34122,15213.46,0.8917097473770588
57313,17362.88,0.6058967424493571
56592,18237.08,0.6445108849307323
10345,3185.85,0.6159207346544224
80626,33171.13,0.8228395306724877
83239,20719.58,0.4978334674851933
38898,15285.49,0.7859267828680138
45133,17501.44,0.7755495978552278
94284,41938.88,0.8896287811293538
12482,4067.21,0.651692036532607
165547,64251.99,0.776238651259159
162117,52995.28,0.6537905339970514
127792,56969.59,0.8915986916238887
195924,82944.97,0.8467055592985036
118203,56104.8,0.9492957031547423
121542,58152.53,0.9569125076105379
161584,72718.9,0.9000755025250025
175308,80109.84,0.9139325073584776
117833,47425.72,0.804964992828834
148646,61298.06,0.8247522301306459
120834,42488.53,0.7032545475611169
193465,79769.75,0.8246427002300157
176772,56823.43,0.6429007987690358
116870,42279.77,0.7235350389321468
163380,70351.42,0.8611999020687966
147201,70178.6,0.953507109326703
189292,70598.49,0.7459215392092641
171596,66009.31,0.7693572111238024
151558,54964.25,0.7253229786616345
123275,48239.77,0.7826367065503954
144304,49495.64,0.6859912407140482
192748,49532.07,0.5139567725735157
121054,63667,1.051877674426289
105483,43615.04,0.8269586568451789
163178,92827.58,1.13774626481511
135347,45311.96,0.6695672604490679
116615,42121.15,0.7223967757149595
110042,32060.96,0.5827040584504098
135099,39633.89,0.5867384658657725
149367,60841.23,0.8146542408965837
173352,58756.47,0.6778862660944206
114722,59000.11,1.0285753386447238
107041,63199.9,1.1808540652647117
154000,53897.23,0.699964025974026
137340,57206.08,0.8330578127275375
112130,47852.43,0.8535169892089539
106429,49370.1,0.9277565325240301
160227,77172.69,0.9632919545394971
142909,58730.53,0.8219290597513103
135391,41870.2,0.6185078771853373
110017,39149.84,0.7117052819109774
193477,100276.86,1.036576543981972
122150,41834.42,0.6849679901760131
179136,87785.55,0.9800994774919615
112662,49829.82,0.8845896575597806
126517,54346.85,0.8591232798754317
149551,53112.11,0.7102875941986346
165679,72420.81,0.8742304094061407
